serogroup,country,Vac.age,Study.waning,age_dep,Waning,data,2.5%,50%,97.5%
PPV23,Brazil,55,Andrews et al. (2012),TRUE,Fast waning,,0.10080433135068674,0.14285419405255065,0.19334507835222378
PPV23,Brazil,60,Andrews et al. (2012),TRUE,Fast waning,,0.09999241081274302,0.1406528815417235,0.19158962315139264
PPV23,Brazil,65,Andrews et al. (2012),TRUE,Fast waning,,0.06481797465308724,0.09086758358510091,0.1250853891262602
PPV23,Brazil,70,Andrews et al. (2012),TRUE,Fast waning,,0.06513998138976995,0.09104903194318645,0.12603533375475948
PPV23,Brazil,75,Andrews et al. (2012),TRUE,Fast waning,,0.055104815174781156,0.07783049243219059,0.10819380551426162
PPV23,Brazil,80,Andrews et al. (2012),TRUE,Fast waning,,0.057744191382408494,0.08226532377051503,0.11575441940961684
PPV23,Brazil,85,Andrews et al. (2012),TRUE,Fast waning,,0.061035342298989805,0.0880576562339845,0.12556264749902424
PPV23,South Africa,55,Andrews et al. (2012),TRUE,Fast waning,,0.0198065515101446,0.028627013747282902,0.039158092241247805
PPV23,South Africa,60,Andrews et al. (2012),TRUE,Fast waning,,0.020489042891281884,0.029540154666381283,0.04008041310362629
PPV23,South Africa,65,Andrews et al. (2012),TRUE,Fast waning,,0.013579624675247376,0.01967876589272575,0.026862866560685872
PPV23,South Africa,70,Andrews et al. (2012),TRUE,Fast waning,,0.012854290526660098,0.018555620320196184,0.02551328781524489
PPV23,South Africa,75,Andrews et al. (2012),TRUE,Fast waning,,0.01108495783691838,0.01606366728332164,0.02207657972665201
PPV23,South Africa,80,Andrews et al. (2012),TRUE,Fast waning,,0.011893904644312711,0.01734156635072874,0.023999479110752637
PPV23,South Africa,85,Andrews et al. (2012),TRUE,Fast waning,,0.013882979166240754,0.020277560823063555,0.028610848284986064
PPV23,Malawi,55,Andrews et al. (2012),TRUE,Fast waning,,1.714255950127784e-4,3.4818321892361335e-4,7.438775650388784e-4
PPV23,Malawi,60,Andrews et al. (2012),TRUE,Fast waning,,1.759402640677916e-4,3.7583015928496533e-4,8.009045726622489e-4
PPV23,Malawi,65,Andrews et al. (2012),TRUE,Fast waning,,1.0484527723985006e-4,2.3735904030723308e-4,5.297304553503149e-4
PPV23,Malawi,70,Andrews et al. (2012),TRUE,Fast waning,,1.1314675670010328e-4,2.682831645355651e-4,6.571582872941476e-4
PPV23,Malawi,75,Andrews et al. (2012),TRUE,Fast waning,,6.242738944603696e-5,1.6360859854947478e-4,4.240817522039435e-4
PPV23,Malawi,80,Andrews et al. (2012),TRUE,Fast waning,,5.725117815815117e-5,1.6922938616628982e-4,4.890181530619081e-4
PPV23,Malawi,85,Andrews et al. (2012),TRUE,Fast waning,,6.163148090326604e-5,2.1061561693859699e-4,6.807507948598324e-4
PPV23,England,55,Andrews et al. (2012),TRUE,Fast waning,,0.01982118321203361,0.027975060086795733,0.03793337709958734
PPV23,England,60,Andrews et al. (2012),TRUE,Fast waning,,0.023849810683362276,0.033479493371777594,0.04534046741559789
PPV23,England,65,Andrews et al. (2012),TRUE,Fast waning,,0.020802731755035123,0.029341811094344743,0.039509067387066686
PPV23,England,70,Andrews et al. (2012),TRUE,Fast waning,,0.03134564943289185,0.04415886340865288,0.05957531576974985
PPV23,England,75,Andrews et al. (2012),TRUE,Fast waning,,0.02913341557576468,0.04142087031112733,0.05531568955683494
PPV23,England,80,Andrews et al. (2012),TRUE,Fast waning,,0.03885099607118893,0.055272007401762024,0.07421692758003438
PPV23,England,85,Andrews et al. (2012),TRUE,Fast waning,,0.05577667911710313,0.07971062783758417,0.10755974927466709
