country,serogroup,age_dep,Waning,Vac.age,2.5%,50%,97.5%
Brazil,PCV15,FALSE,Fast waning,55,25.107400283806257,27.274405242036124,29.455735282368146
England,PCV15,FALSE,Fast waning,55,7.3096140890497825,7.879842724552404,8.427821448276418
Malawi,PCV15,FALSE,Fast waning,55,19.45541685229016,21.18804862559253,22.955862971746587
South Africa,PCV15,FALSE,Fast waning,55,15.766442491556681,17.17377706257819,18.589518124087913
Brazil,PCV15,FALSE,Fast waning,60,22.15163204382406,24.089455049717106,26.02893591177775
England,PCV15,FALSE,Fast waning,60,9.130518563459534,9.856648846330208,10.550941749492829
Malawi,PCV15,FALSE,Fast waning,60,15.900589966834628,17.33195851450245,18.819456920523365
South Africa,PCV15,FALSE,Fast waning,60,13.155442041574132,14.332895581546458,15.545401085969278
Brazil,PCV15,FALSE,Fast waning,65,18.799941709188065,20.467990373660847,22.17759950023826
England,PCV15,FALSE,Fast waning,65,11.308783797970152,12.226680361301494,13.108178945776558
Malawi,PCV15,FALSE,Fast waning,65,12.759232367886987,14.024916324594654,15.362073178328972
South Africa,PCV15,FALSE,Fast waning,65,10.366203799563033,11.32027294767882,12.300159626129192
Brazil,PCV15,FALSE,Fast waning,70,14.044191196266489,15.435263510070449,16.86055190721576
England,PCV15,FALSE,Fast waning,70,10.532534663740272,11.486516032463847,12.413448044040221
Malawi,PCV15,FALSE,Fast waning,70,7.871045271968137,8.713502039245714,9.615182079956718
South Africa,PCV15,FALSE,Fast waning,70,7.178167561570833,7.892824346439809,8.640688480413631
Brazil,PCV15,FALSE,Fast waning,75,9.294939572416078,10.378894761723185,11.54367618320498
England,PCV15,FALSE,Fast waning,75,8.360307694229723,9.300781903653586,10.233231016841826
Malawi,PCV15,FALSE,Fast waning,75,4.606677352268526,5.159494377760465,5.757723006235301
South Africa,PCV15,FALSE,Fast waning,75,4.675093567207698,5.220238812291155,5.816799754049225
Brazil,PCV15,FALSE,Fast waning,80,5.019644345199758,5.764488546820826,6.599272291365517
England,PCV15,FALSE,Fast waning,80,5.930177087262783,6.773032879925591,7.702275556201839
Malawi,PCV15,FALSE,Fast waning,80,2.2503064533116803,2.578382879195622,2.9382288928494003
South Africa,PCV15,FALSE,Fast waning,80,2.4100219709218136,2.7700854232105185,3.1668369211044847
Brazil,PCV15,FALSE,Fast waning,85,0.5403807821335497,0.7853019875806388,1.053691357957945
England,PCV15,FALSE,Fast waning,85,0.8137013177986895,1.1825018270290246,1.586640522518758
Malawi,PCV15,FALSE,Fast waning,85,0.27983925227230183,0.4066730873456698,0.5456600447050408
South Africa,PCV15,FALSE,Fast waning,85,0.2652125995229265,0.3854170770368177,0.5171394568021576
