country,serogroup,age_dep,Waning,Vac.age,2.5%,50%,97.5%
Brazil,PPV23,FALSE,Fast waning,55,15.333951224142707,18.58012014149473,21.8707100145837
England,PPV23,FALSE,Fast waning,55,7.273927686086559,9.104359020349717,10.96950875251612
Malawi,PPV23,FALSE,Fast waning,55,16.31944075667962,19.649401663873853,23.076239657721548
South Africa,PPV23,FALSE,Fast waning,55,10.584022731047568,12.810542094386815,15.12699082768872
Brazil,PPV23,FALSE,Fast waning,60,13.346499878872487,16.06134051955405,18.858748325000374
England,PPV23,FALSE,Fast waning,60,8.364623989399897,10.42606460966002,12.597442840339097
Malawi,PPV23,FALSE,Fast waning,60,13.508196236336602,16.189135552459305,18.973094460511568
South Africa,PPV23,FALSE,Fast waning,60,9.56244812550895,11.519946733810446,13.538101331033154
Brazil,PPV23,FALSE,Fast waning,65,11.116039885557418,13.333473094478045,15.650002952864735
England,PPV23,FALSE,Fast waning,65,9.721494680519942,11.970619184548273,14.324056980653973
Malawi,PPV23,FALSE,Fast waning,65,11.051878942204953,13.17225602794511,15.363137772680933
South Africa,PPV23,FALSE,Fast waning,65,8.161016464145145,9.816764179505725,11.504565091344368
Brazil,PPV23,FALSE,Fast waning,70,8.328470865807919,9.989824216903935,11.75478940092373
England,PPV23,FALSE,Fast waning,70,9.084191392076614,11.090699678910731,13.150142621698022
Malawi,PPV23,FALSE,Fast waning,70,7.251829580911661,8.622320214150733,10.069774389125753
South Africa,PPV23,FALSE,Fast waning,70,6.0442098191982465,7.266270965958938,8.57991675828872
Brazil,PPV23,FALSE,Fast waning,75,5.597535352012428,6.760372889720717,7.936879987265326
England,PPV23,FALSE,Fast waning,75,6.953684846959728,8.623608295789532,10.281166472624824
Malawi,PPV23,FALSE,Fast waning,75,4.298678318858734,5.161854870194483,6.059200571825919
South Africa,PPV23,FALSE,Fast waning,75,4.2851988455182735,5.164529129203788,6.08837175335519
Brazil,PPV23,FALSE,Fast waning,80,3.2806946595017354,3.9665545719618436,4.637157293943712
England,PPV23,FALSE,Fast waning,80,5.26855566978806,6.427319991108188,7.550226300048771
Malawi,PPV23,FALSE,Fast waning,80,2.2761414671754183,2.766787187584222,3.2483293435841687
South Africa,PPV23,FALSE,Fast waning,80,2.550533708881338,3.096883736881344,3.6258616675331146
Brazil,PPV23,FALSE,Fast waning,85,0.4843633019958894,0.6869266210482441,0.8793418256767681
England,PPV23,FALSE,Fast waning,85,1.0016413413852974,1.4205330984094084,1.8184390150485614
Malawi,PPV23,FALSE,Fast waning,85,0.40372706275705234,0.5725678760192032,0.7329500211453227
South Africa,PPV23,FALSE,Fast waning,85,0.41169556893671616,0.5838688540293933,0.7474165192121016
